ensembl_gene_id	geneSymbol	description	band
ENSG00000172247	C1QTNF4	C1q and TNF related 4 [Source:HGNC Symbol;Acc:HGNC:14346]	p11.2
ENSG00000172269	DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:2995]	q23.3
ENSG00000172273	HINFP	histone H4 transcription factor [Source:HGNC Symbol;Acc:HGNC:17850]	q23.3
ENSG00000172289	OR10V1	olfactory receptor family 10 subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:15136]	q12.1
ENSG00000172320	OR5A1	olfactory receptor family 5 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8319]	q12.1
ENSG00000172322	CLEC12A	C-type lectin domain family 12 member A [Source:HGNC Symbol;Acc:HGNC:31713]	p13.31
ENSG00000172324	OR5A2	olfactory receptor family 5 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15249]	q12.1
ENSG00000172350	ABCG4	ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]	q23.3
ENSG00000172362	OR5B12	olfactory receptor family 5 subfamily B member 12 [Source:HGNC Symbol;Acc:HGNC:15432]	q12.1
ENSG00000172365	OR5B2	olfactory receptor family 5 subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:8323]	q12.1
ENSG00000172367	PDZD3	PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19891]	q23.3
ENSG00000172375	C2CD2L	C2CD2 like [Source:HGNC Symbol;Acc:HGNC:29000]	q23.3
ENSG00000172377	OR9I1	olfactory receptor family 9 subfamily I member 1 [Source:HGNC Symbol;Acc:HGNC:14718]	q12.1
ENSG00000172409	CLP1	cleavage factor polyribonucleotide kinase subunit 1 [Source:HGNC Symbol;Acc:HGNC:16999]	q12.1
ENSG00000172425	TTC36	tetratricopeptide repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:33708]	q23.3
ENSG00000172457	OR9G4	olfactory receptor family 9 subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:15322]	q12.1
ENSG00000172458	IL17D	interleukin 17D [Source:HGNC Symbol;Acc:HGNC:5984]	q12.11
ENSG00000172459	OR5AR1	olfactory receptor family 5 subfamily AR member 1 [Source:HGNC Symbol;Acc:HGNC:15260]	q12.1
ENSG00000172464	OR5AP2	olfactory receptor family 5 subfamily AP member 2 [Source:HGNC Symbol;Acc:HGNC:15258]	q12.1
ENSG00000172487	OR8J1	olfactory receptor family 8 subfamily J member 1 [Source:HGNC Symbol;Acc:HGNC:14855]	q12.1
ENSG00000172489	OR5T3	olfactory receptor family 5 subfamily T member 3 [Source:HGNC Symbol;Acc:HGNC:15297]	q12.1
ENSG00000172500	FIBP	FGF1 intracellular binding protein [Source:HGNC Symbol;Acc:HGNC:3705]	q13.1
ENSG00000172508	CARNS1	carnosine synthase 1 [Source:HGNC Symbol;Acc:HGNC:29268]	q13.2
ENSG00000172531	PPP1CA	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	q13.2
ENSG00000172543	CTSW	cathepsin W [Source:HGNC Symbol;Acc:HGNC:2546]	q13.1
ENSG00000172551	MUCL1	mucin like 1 [Source:HGNC Symbol;Acc:HGNC:30588]	q13.2
ENSG00000172572	PDE3A	phosphodiesterase 3A [Source:HGNC Symbol;Acc:HGNC:8778]	p12.2
ENSG00000172590	MRPL52	mitochondrial ribosomal protein L52 [Source:HGNC Symbol;Acc:HGNC:16655]	q11.2
ENSG00000172602	RND1	Rho family GTPase 1 [Source:HGNC Symbol;Acc:HGNC:18314]	q13.12
ENSG00000172613	RAD9A	RAD9 checkpoint clamp component A [Source:HGNC Symbol;Acc:HGNC:9827]	q13.2
ENSG00000172638	EFEMP2	EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]	q13.1
ENSG00000172640	OR10AD1	olfactory receptor family 10 subfamily AD member 1 [Source:HGNC Symbol;Acc:HGNC:14819]	q13.11
ENSG00000172663	TMEM134	transmembrane protein 134 [Source:HGNC Symbol;Acc:HGNC:26142]	q13.2
ENSG00000172689	MS4A10	membrane spanning 4-domains A10 [Source:HGNC Symbol;Acc:HGNC:13368]	q12.2
ENSG00000172717	FAM71D	family with sequence similarity 71 member D [Source:HGNC Symbol;Acc:HGNC:20101]	q23.3
ENSG00000172725	CORO1B	coronin 1B [Source:HGNC Symbol;Acc:HGNC:2253]	q13.2
ENSG00000172732	MUS81	MUS81 structure-specific endonuclease subunit [Source:HGNC Symbol;Acc:HGNC:29814]	q13.1
ENSG00000172742	OR4D9	olfactory receptor family 4 subfamily D member 9 [Source:HGNC Symbol;Acc:HGNC:15178]	q12.1
ENSG00000172757	CFL1	cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]	q13.1
ENSG00000172766	NAA16	N-alpha-acetyltransferase 16, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:26164]	q14.11
ENSG00000172769	OR5B3	olfactory receptor family 5 subfamily B member 3 [Source:HGNC Symbol;Acc:HGNC:8324]	q12.1
ENSG00000172772	OR10W1	olfactory receptor family 10 subfamily W member 1 [Source:HGNC Symbol;Acc:HGNC:15139]	q12.1
ENSG00000172789	HOXC5	homeobox C5 [Source:HGNC Symbol;Acc:HGNC:5127]	q13.13
ENSG00000172803	SNX32	sorting nexin 32 [Source:HGNC Symbol;Acc:HGNC:26423]	q13.1
ENSG00000172818	OVOL1	ovo like transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:8525]	q13.1
ENSG00000172819	RARG	retinoic acid receptor gamma [Source:HGNC Symbol;Acc:HGNC:9866]	q13.13
ENSG00000172830	SSH3	slingshot protein phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:30581]	q13.2
ENSG00000172867	KRT2	keratin 2 [Source:HGNC Symbol;Acc:HGNC:6439]	q13.13
ENSG00000172890	NADSYN1	NAD synthetase 1 [Source:HGNC Symbol;Acc:HGNC:29832]	q13.4
ENSG00000172893	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	q13.4
ENSG00000172915	NBEA	neurobeachin [Source:HGNC Symbol;Acc:HGNC:7648]	q13.3
ENSG00000172922	RNASEH2C	ribonuclease H2 subunit C [Source:HGNC Symbol;Acc:HGNC:24116]	q13.1
ENSG00000172927	MYEOV	myeloma overexpressed [Source:HGNC Symbol;Acc:HGNC:7563]	q13.3
ENSG00000172932	ANKRD13D	ankyrin repeat domain 13D [Source:HGNC Symbol;Acc:HGNC:27880]	q13.2
ENSG00000172935	MRGPRF	MAS related GPR family member F [Source:HGNC Symbol;Acc:HGNC:24828]	q13.3
ENSG00000172938	MRGPRD	MAS related GPR family member D [Source:HGNC Symbol;Acc:HGNC:29626]	q13.3
ENSG00000172977	KAT5	lysine acetyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:5275]	q13.1
ENSG00000173020	GRK2	G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]	q13.2
ENSG00000173039	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	q13.1
ENSG00000173064	HECTD4	HECT domain E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:HGNC:26611]	q24.13
ENSG00000173093	CCDC63	coiled-coil domain containing 63 [Source:HGNC Symbol;Acc:HGNC:26669]	q24.11
ENSG00000173113	TRMT112	tRNA methyltransferase subunit 11-2 [Source:HGNC Symbol;Acc:HGNC:26940]	q13.1
ENSG00000173120	KDM2A	lysine demethylase 2A [Source:HGNC Symbol;Acc:HGNC:13606]	q13.2
ENSG00000173141	MRPL57	mitochondrial ribosomal protein L57 [Source:HGNC Symbol;Acc:HGNC:14514]	q12.11
ENSG00000173153	ESRRA	estrogen related receptor alpha [Source:HGNC Symbol;Acc:HGNC:3471]	q13.1
ENSG00000173156	RHOD	ras homolog family member D [Source:HGNC Symbol;Acc:HGNC:670]	q13.2
ENSG00000173157	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20 [Source:HGNC Symbol;Acc:HGNC:17178]	q12
ENSG00000173208	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	q12
ENSG00000173227	SYT12	synaptotagmin 12 [Source:HGNC Symbol;Acc:HGNC:18381]	q13.2
ENSG00000173237	C11orf86	chromosome 11 open reading frame 86 [Source:HGNC Symbol;Acc:HGNC:34442]	q13.2
ENSG00000173262	SLC2A14	solute carrier family 2 member 14 [Source:HGNC Symbol;Acc:HGNC:18301]	p13.31
ENSG00000173264	GPR137	G protein-coupled receptor 137 [Source:HGNC Symbol;Acc:HGNC:24300]	q13.1
ENSG00000173327	MAP3K11	mitogen-activated protein kinase kinase kinase 11 [Source:HGNC Symbol;Acc:HGNC:6850]	q13.1
ENSG00000173338	KCNK7	potassium two pore domain channel subfamily K member 7 [Source:HGNC Symbol;Acc:HGNC:6282]	q13.1
ENSG00000173391	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	p13.2
ENSG00000173401	GLIPR1L1	GLIPR1 like 1 [Source:HGNC Symbol;Acc:HGNC:28392]	q21.2
ENSG00000173431	RNASE8	ribonuclease A family member 8 [Source:HGNC Symbol;Acc:HGNC:19277]	q11.2
ENSG00000173442	EHBP1L1	EH domain binding protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:30682]	q13.1
ENSG00000173451	THAP2	THAP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20854]	q21.1
ENSG00000173456	RNF26	ring finger protein 26 [Source:HGNC Symbol;Acc:HGNC:14646]	q23.3
ENSG00000173457	PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B [Source:HGNC Symbol;Acc:HGNC:9057]	q13.1
ENSG00000173464	RNASE11	ribonuclease A family member 11 (inactive) [Source:HGNC Symbol;Acc:HGNC:19269]	q11.2
ENSG00000173465	ZNRD2	zinc ribbon domain containing 2 [Source:HGNC Symbol;Acc:HGNC:11328]	q13.1
ENSG00000173486	FKBP2	FKBP prolyl isomerase 2 [Source:HGNC Symbol;Acc:HGNC:3718]	q13.1
ENSG00000173511	VEGFB	vascular endothelial growth factor B [Source:HGNC Symbol;Acc:HGNC:12681]	q13.1
ENSG00000173588	CEP83	centrosomal protein 83 [Source:HGNC Symbol;Acc:HGNC:17966]	q22
ENSG00000173598	NUDT4	nudix hydrolase 4 [Source:HGNC Symbol;Acc:HGNC:8051]	q22
ENSG00000173599	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	q13.2
ENSG00000173621	LRFN4	leucine rich repeat and fibronectin type III domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28456]	q13.2
ENSG00000173653	RCE1	Ras converting CAAX endopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:13721]	q13.2
ENSG00000173715	C11orf80	chromosome 11 open reading frame 80 [Source:HGNC Symbol;Acc:HGNC:26197]	q13.2
ENSG00000173727	AP000769.1	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (FAU) pseudogene	q13.1
ENSG00000173825	TIGD3	tigger transposable element derived 3 [Source:HGNC Symbol;Acc:HGNC:18334]	q13.1
ENSG00000173898	SPTBN2	spectrin beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]	q13.2
ENSG00000173914	RBM4B	RNA binding motif protein 4B [Source:HGNC Symbol;Acc:HGNC:28842]	q13.2
ENSG00000173933	RBM4	RNA binding motif protein 4 [Source:HGNC Symbol;Acc:HGNC:9901]	q13.2
ENSG00000173988	LRRC63	leucine rich repeat containing 63 [Source:HGNC Symbol;Acc:HGNC:34296]	q14.13
ENSG00000173992	CCS	copper chaperone for superoxide dismutase [Source:HGNC Symbol;Acc:HGNC:1613]	q13.2
ENSG00000174015	CBY2	chibby family member 2 [Source:HGNC Symbol;Acc:HGNC:30720]	q14.13
ENSG00000174032	SLC25A30	solute carrier family 25 member 30 [Source:HGNC Symbol;Acc:HGNC:27371]	q14.13
ENSG00000174080	CTSF	cathepsin F [Source:HGNC Symbol;Acc:HGNC:2531]	q13.2
ENSG00000174099	MSRB3	methionine sulfoxide reductase B3 [Source:HGNC Symbol;Acc:HGNC:27375]	q14.3
ENSG00000174106	LEMD3	LEM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28887]	q14.3
ENSG00000174165	ZDHHC24	zinc finger DHHC-type containing 24 [Source:HGNC Symbol;Acc:HGNC:27387]	q13.2
ENSG00000174206	C12orf66	chromosome 12 open reading frame 66 [Source:HGNC Symbol;Acc:HGNC:26517]	q14.2
ENSG00000174233	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	q13.12
ENSG00000174236	REP15	RAB15 effector protein [Source:HGNC Symbol;Acc:HGNC:33748]	p11.22
ENSG00000174243	DDX23	DEAD-box helicase 23 [Source:HGNC Symbol;Acc:HGNC:17347]	q13.12
ENSG00000174276	ZNHIT2	zinc finger HIT-type containing 2 [Source:HGNC Symbol;Acc:HGNC:1177]	q13.1
ENSG00000174370	C11orf45	chromosome 11 open reading frame 45 [Source:HGNC Symbol;Acc:HGNC:28584]	q24.3
ENSG00000174373	RALGAPA1	Ral GTPase activating protein catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:17770]	q13.2
ENSG00000174405	LIG4	DNA ligase 4 [Source:HGNC Symbol;Acc:HGNC:6601]	q33.3
ENSG00000174437	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	q24.11
ENSG00000174456	C12orf76	chromosome 12 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:33790]	q24.11
ENSG00000174483	BBS1	Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:HGNC:966]	q13.2
ENSG00000174516	PELI3	pellino E3 ubiquitin protein ligase family member 3 [Source:HGNC Symbol;Acc:HGNC:30010]	q13.2
ENSG00000174527	MYO1H	myosin IH [Source:HGNC Symbol;Acc:HGNC:13879]	q24.11
ENSG00000174547	MRPL11	mitochondrial ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:14042]	q13.2
ENSG00000174576	NPAS4	neuronal PAS domain protein 4 [Source:HGNC Symbol;Acc:HGNC:18983]	q13.2
ENSG00000174600	CMKLR1	chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]	q23.3
ENSG00000174669	SLC29A2	solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]	q13.2
ENSG00000174684	B4GAT1	beta-1,4-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15685]	q13.2
ENSG00000174718	RESF1	retroelement silencing factor 1 [Source:HGNC Symbol;Acc:HGNC:25559]	p11.21
ENSG00000174744	BRMS1	BRMS1 transcriptional repressor and anoikis regulator [Source:HGNC Symbol;Acc:HGNC:17262]	q13.2
ENSG00000174791	RIN1	Ras and Rab interactor 1 [Source:HGNC Symbol;Acc:HGNC:18749]	q13.2
ENSG00000174804	FZD4	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	q14.2
ENSG00000174807	CD248	CD248 molecule [Source:HGNC Symbol;Acc:HGNC:18219]	q13.2
ENSG00000174851	YIF1A	Yip1 interacting factor homolog A, membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:16688]	q13.2
ENSG00000174871	CNIH2	cornichon family AMPA receptor auxiliary protein 2 [Source:HGNC Symbol;Acc:HGNC:28744]	q13.2
ENSG00000174903	RAB1B	RAB1B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18370]	q13.2
ENSG00000174914	OR9G1	olfactory receptor family 9 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:15319]	q12.1
ENSG00000174937	OR5M3	olfactory receptor family 5 subfamily M member 3 [Source:HGNC Symbol;Acc:HGNC:14806]	q12.1
ENSG00000174957	OR5J2	olfactory receptor family 5 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:19612]	q12.1
ENSG00000174970	OR10AG1	olfactory receptor family 10 subfamily AG member 1 [Source:HGNC Symbol;Acc:HGNC:19607]	q12.1
ENSG00000174982	OR4S2	olfactory receptor family 4 subfamily S member 2 [Source:HGNC Symbol;Acc:HGNC:15183]	q11
ENSG00000174989	FBXW8	F-box and WD repeat domain containing 8 [Source:HGNC Symbol;Acc:HGNC:13597]	q24.22
ENSG00000174996	KLC2	kinesin light chain 2 [Source:HGNC Symbol;Acc:HGNC:20716]	q13.2
ENSG00000175115	PACS1	phosphofurin acidic cluster sorting protein 1 [Source:HGNC Symbol;Acc:HGNC:30032]	q13.1
ENSG00000175183	CSRP2	cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470]	q21.2
ENSG00000175189	INHBC	inhibin subunit beta C [Source:HGNC Symbol;Acc:HGNC:6068]	q13.3
ENSG00000175197	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	q13.3
ENSG00000175198	PCCA	propionyl-CoA carboxylase subunit alpha [Source:HGNC Symbol;Acc:HGNC:8653]	q32.3
ENSG00000175203	DCTN2	dynactin subunit 2 [Source:HGNC Symbol;Acc:HGNC:2712]	q13.3
ENSG00000175213	ZNF408	zinc finger protein 408 [Source:HGNC Symbol;Acc:HGNC:20041]	p11.2
ENSG00000175215	CTDSP2	CTD small phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:17077]	q14.1
ENSG00000175216	CKAP5	cytoskeleton associated protein 5 [Source:HGNC Symbol;Acc:HGNC:28959]	p11.2
ENSG00000175220	ARHGAP1	Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:673]	p11.2
ENSG00000175224	ATG13	autophagy related 13 [Source:HGNC Symbol;Acc:HGNC:29091]	p11.2
ENSG00000175229	GAL3ST3	galactose-3-O-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:24144]	q13.1
ENSG00000175264	CHST1	carbohydrate sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:1969]	p11.2
ENSG00000175274	TP53I11	tumor protein p53 inducible protein 11 [Source:HGNC Symbol;Acc:HGNC:16842]	p11.2
ENSG00000175294	CATSPER1	cation channel sperm associated 1 [Source:HGNC Symbol;Acc:HGNC:17116]	q13.1
ENSG00000175315	CST6	cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]	q13.1
ENSG00000175334	BANF1	BAF nuclear assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:17397]	q13.1
ENSG00000175336	APOF	apolipoprotein F [Source:HGNC Symbol;Acc:HGNC:615]	q13.3
ENSG00000175376	EIF1AD	eukaryotic translation initiation factor 1A domain containing [Source:HGNC Symbol;Acc:HGNC:28147]	q13.1
ENSG00000175398	OR10P1	olfactory receptor family 10 subfamily P member 1 [Source:HGNC Symbol;Acc:HGNC:15378]	q13.2
ENSG00000175463	TBC1D10C	TBC1 domain family member 10C [Source:HGNC Symbol;Acc:HGNC:24702]	q13.2
ENSG00000175467	SART1	spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP [Source:HGNC Symbol;Acc:HGNC:10538]	q13.1
ENSG00000175482	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	q13.2
ENSG00000175505	CLCF1	cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412]	q13.2
ENSG00000175514	GPR152	G protein-coupled receptor 152 [Source:HGNC Symbol;Acc:HGNC:23622]	q13.2
ENSG00000175536	LIPT2	lipoyl(octanoyl) transferase 2 [Source:HGNC Symbol;Acc:HGNC:37216]	q13.4
ENSG00000175538	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]	q13.4
ENSG00000175544	CABP4	calcium binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1386]	q13.2
ENSG00000175548	ALG10B	ALG10 alpha-1,2-glucosyltransferase B [Source:HGNC Symbol;Acc:HGNC:31088]	q12
ENSG00000175550	DRAP1	DR1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:3019]	q13.1
ENSG00000175564	UCP3	uncoupling protein 3 [Source:HGNC Symbol;Acc:HGNC:12519]	q13.4
ENSG00000175567	UCP2	uncoupling protein 2 [Source:HGNC Symbol;Acc:HGNC:12518]	q13.4
ENSG00000175573	C11orf68	chromosome 11 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:28801]	q13.1
ENSG00000175575	PAAF1	proteasomal ATPase associated factor 1 [Source:HGNC Symbol;Acc:HGNC:25687]	q13.4
ENSG00000175581	MRPL48	mitochondrial ribosomal protein L48 [Source:HGNC Symbol;Acc:HGNC:16653]	q13.4
ENSG00000175582	RAB6A	RAB6A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9786]	q13.4
ENSG00000175591	P2RY2	purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]	q13.4
ENSG00000175592	FOSL1	FOS like 1, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:13718]	q13.1
ENSG00000175602	CCDC85B	coiled-coil domain containing 85B [Source:HGNC Symbol;Acc:HGNC:24926]	q13.1
ENSG00000175619	OR4B1	olfactory receptor family 4 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:8290]	p11.2
ENSG00000175634	RPS6KB2	ribosomal protein S6 kinase B2 [Source:HGNC Symbol;Acc:HGNC:10437]	q13.2
ENSG00000175664	TEX26	testis expressed 26 [Source:HGNC Symbol;Acc:HGNC:28622]	q12.3
ENSG00000175727	MLXIP	MLX interacting protein [Source:HGNC Symbol;Acc:HGNC:17055]	q24.31
ENSG00000175728	LINC02873	long intergenic non-protein coding RNA 2873 [Source:HGNC Symbol;Acc:HGNC:26805]	q24.3
ENSG00000175773	ZBTB44-DT	ZBTB44 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54265]	q24.3
ENSG00000175782	SLC35E3	solute carrier family 35 member E3 [Source:HGNC Symbol;Acc:HGNC:20864]	q15
ENSG00000175785	PRIMA1	proline rich membrane anchor 1 [Source:HGNC Symbol;Acc:HGNC:18319]	q32.12
ENSG00000175820	CCDC168	coiled-coil domain containing 168 [Source:HGNC Symbol;Acc:HGNC:26851]	q33.1
ENSG00000175899	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	p13.31
ENSG00000175970	UNC119B	unc-119 lipid binding chaperone B [Source:HGNC Symbol;Acc:HGNC:16488]	q24.31
ENSG00000175985	PLEKHD1	pleckstrin homology and coiled-coil domain containing D1 [Source:HGNC Symbol;Acc:HGNC:20148]	q24.1
ENSG00000176124	DLEU1	deleted in lymphocytic leukemia 1 [Source:HGNC Symbol;Acc:HGNC:13747]	q14.2
ENSG00000176153	GPX2	glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]	q23.3
ENSG00000176165	FOXG1	forkhead box G1 [Source:HGNC Symbol;Acc:HGNC:3811]	q12
ENSG00000176198	OR11H4	olfactory receptor family 11 subfamily H member 4 [Source:HGNC Symbol;Acc:HGNC:15347]	q11.2
ENSG00000176200	OR4D11	olfactory receptor family 4 subfamily D member 11 [Source:HGNC Symbol;Acc:HGNC:15174]	q12.1
ENSG00000176219	OR11H6	olfactory receptor family 11 subfamily H member 6 [Source:HGNC Symbol;Acc:HGNC:15349]	q11.2
ENSG00000176230	OR4K17	olfactory receptor family 4 subfamily K member 17 [Source:HGNC Symbol;Acc:HGNC:15355]	q11.2
ENSG00000176246	OR4L1	olfactory receptor family 4 subfamily L member 1 [Source:HGNC Symbol;Acc:HGNC:15356]	q11.2
ENSG00000176253	OR4K13	olfactory receptor family 4 subfamily K member 13 [Source:HGNC Symbol;Acc:HGNC:15351]	q11.2
ENSG00000176281	OR4K5	olfactory receptor family 4 subfamily K member 5 [Source:HGNC Symbol;Acc:HGNC:14745]	q11.2
ENSG00000176294	OR4N2	olfactory receptor family 4 subfamily N member 2 [Source:HGNC Symbol;Acc:HGNC:14742]	q11.2
ENSG00000176299	OR4M1	olfactory receptor family 4 subfamily M member 1 [Source:HGNC Symbol;Acc:HGNC:14735]	q11.2
ENSG00000176302	FOXR1	forkhead box R1 [Source:HGNC Symbol;Acc:HGNC:29980]	q23.3
ENSG00000176340	COX8A	cytochrome c oxidase subunit 8A [Source:HGNC Symbol;Acc:HGNC:2294]	q13.1
ENSG00000176383	B3GNT4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:15683]	q24.31
ENSG00000176422	SPRYD4	SPRY domain containing 4 [Source:HGNC Symbol;Acc:HGNC:27468]	q13.3
ENSG00000176435	CLEC14A	C-type lectin domain containing 14A [Source:HGNC Symbol;Acc:HGNC:19832]	q21.1
ENSG00000176438	SYNE3	spectrin repeat containing nuclear envelope family member 3 [Source:HGNC Symbol;Acc:HGNC:19861]	q32.13
ENSG00000176473	WDR25	WD repeat domain 25 [Source:HGNC Symbol;Acc:HGNC:21064]	q32.2
ENSG00000176485	PLAAT3	phospholipase A and acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17825]	q13.1
ENSG00000176495	OR5AN1	olfactory receptor family 5 subfamily AN member 1 [Source:HGNC Symbol;Acc:HGNC:15255]	q12.1
ENSG00000176540	OR4C5	olfactory receptor family 4 subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:14702]	p11.2
ENSG00000176547	OR4C3	olfactory receptor family 4 subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:14697]	p11.2
ENSG00000176555	OR4S1	olfactory receptor family 4 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:14705]	p11.2
ENSG00000176567	OR4X1	olfactory receptor family 4 subfamily X member 1 [Source:HGNC Symbol;Acc:HGNC:14854]	p11.2
ENSG00000176605	C14orf177	chromosome 14 putative open reading frame 177 [Source:HGNC Symbol;Acc:HGNC:26375]	q32.2
ENSG00000176834	VSIG10	V-set and immunoglobulin domain containing 10 [Source:HGNC Symbol;Acc:HGNC:26078]	q24.23
ENSG00000176871	WSB2	WD repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:19222]	q24.23
ENSG00000176894	PXMP2	peroxisomal membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:9716]	q24.33
ENSG00000176903	PNMA1	PNMA family member 1 [Source:HGNC Symbol;Acc:HGNC:9158]	q24.3
ENSG00000176915	ANKLE2	ankyrin repeat and LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29101]	q24.33
ENSG00000176973	FAM89B	family with sequence similarity 89 member B [Source:HGNC Symbol;Acc:HGNC:16708]	q13.1
ENSG00000176984	AP000679.1	novel transcript, antisense to TRIM29	q23.3
ENSG00000177084	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	q24.33
ENSG00000177098	SCN4B	sodium voltage-gated channel beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:10592]	q23.3
ENSG00000177103	DSCAML1	DS cell adhesion molecule like 1 [Source:HGNC Symbol;Acc:HGNC:14656]	q23.3
ENSG00000177108	ZDHHC22	zinc finger DHHC-type palmitoyltransferase 22 [Source:HGNC Symbol;Acc:HGNC:20106]	q24.3
ENSG00000177119	ANO6	anoctamin 6 [Source:HGNC Symbol;Acc:HGNC:25240]	q12
ENSG00000177169	ULK1	unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:HGNC:12558]	q24.33
ENSG00000177192	PUS1	pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508]	q24.33
